iteration,epoch,sparsity,remaining_weights,train_loss,train_acc,test_loss,test_acc
0,1,0.0000,1.0000,1.6757,36.56,1.4708,46.11
0,2,0.0000,1.0000,1.1983,56.70,1.2832,54.50
0,3,0.0000,1.0000,0.9496,66.27,1.3147,57.71
0,4,0.0000,1.0000,0.8111,71.65,0.9870,66.15
0,5,0.0000,1.0000,0.7270,75.06,0.9085,68.95
0,6,0.0000,1.0000,0.6812,76.60,0.9134,70.54
0,7,0.0000,1.0000,0.6387,78.02,0.8316,70.92
0,8,0.0000,1.0000,0.6153,78.67,0.7183,75.87
0,9,0.0000,1.0000,0.5953,79.57,0.8360,72.71
0,10,0.0000,1.0000,0.5752,80.29,0.8598,72.94
0,11,0.0000,1.0000,0.5551,81.07,0.6311,78.93
0,12,0.0000,1.0000,0.5456,81.48,0.8356,72.84
0,13,0.0000,1.0000,0.5361,81.81,0.7509,74.30
0,14,0.0000,1.0000,0.5287,81.80,0.6462,78.01
0,15,0.0000,1.0000,0.5220,81.94,0.7107,76.53
0,16,0.0000,1.0000,0.5154,82.45,0.8779,73.16
0,17,0.0000,1.0000,0.5068,82.74,0.6476,77.99
0,18,0.0000,1.0000,0.4999,82.78,0.7342,75.45
0,19,0.0000,1.0000,0.4934,83.00,0.7858,74.46
0,20,0.0000,1.0000,0.4927,83.13,0.6080,79.50
0,21,0.0000,1.0000,0.4912,83.04,0.8147,73.33
0,22,0.0000,1.0000,0.4828,83.39,0.7276,76.77
0,23,0.0000,1.0000,0.4794,83.48,0.9435,71.60
0,24,0.0000,1.0000,0.4768,83.67,0.6071,80.12
0,25,0.0000,1.0000,0.4735,83.73,0.5719,80.18
0,26,0.0000,1.0000,0.4739,83.74,0.6024,80.09
0,27,0.0000,1.0000,0.4716,83.89,0.5961,80.77
0,28,0.0000,1.0000,0.4631,84.15,1.0684,67.34
0,29,0.0000,1.0000,0.4614,84.21,1.0873,67.07
0,30,0.0000,1.0000,0.4701,83.80,0.6534,78.26
0,31,0.0000,1.0000,0.4654,84.04,0.9296,72.47
0,32,0.0000,1.0000,0.4609,83.98,0.9010,72.27
0,33,0.0000,1.0000,0.4585,84.28,0.6160,80.09
0,34,0.0000,1.0000,0.4521,84.51,0.6885,78.35
0,35,0.0000,1.0000,0.4531,84.48,0.8727,72.39
0,36,0.0000,1.0000,0.4563,84.43,0.6618,78.67
0,37,0.0000,1.0000,0.4542,84.64,0.7929,74.72
0,38,0.0000,1.0000,0.4411,84.84,0.6210,78.94
0,39,0.0000,1.0000,0.4459,84.69,0.4847,83.64
0,40,0.0000,1.0000,0.4479,84.66,0.5532,81.62
0,41,0.0000,1.0000,0.4481,84.74,0.5486,81.64
0,42,0.0000,1.0000,0.4423,84.80,0.4971,83.20
0,43,0.0000,1.0000,0.4447,84.68,0.5353,81.78
0,44,0.0000,1.0000,0.4437,84.88,0.5270,82.17
0,45,0.0000,1.0000,0.4460,84.66,0.6529,78.04
0,46,0.0000,1.0000,0.4380,84.93,0.7294,76.72
0,47,0.0000,1.0000,0.4372,85.14,0.5743,80.72
0,48,0.0000,1.0000,0.4375,84.93,0.8365,74.85
0,49,0.0000,1.0000,0.4390,84.99,0.5900,80.27
0,50,0.0000,1.0000,0.4389,84.91,0.6672,78.10
0,51,0.0000,1.0000,0.4409,85.01,0.5221,81.49
0,52,0.0000,1.0000,0.4308,85.36,0.6407,78.54
0,53,0.0000,1.0000,0.4347,85.07,0.6834,77.51
0,54,0.0000,1.0000,0.4320,85.36,0.5630,81.34
0,55,0.0000,1.0000,0.4221,85.45,0.8337,75.03
0,56,0.0000,1.0000,0.4296,85.37,0.8659,74.68
0,57,0.0000,1.0000,0.4323,85.08,0.9471,72.28
0,58,0.0000,1.0000,0.4325,85.19,0.6963,76.35
0,59,0.0000,1.0000,0.4274,85.28,0.9216,73.49
0,60,0.0000,1.0000,0.4338,85.04,0.7183,76.59
0,61,0.0000,1.0000,0.4399,85.08,0.8371,72.32
0,62,0.0000,1.0000,0.4250,85.30,0.5439,81.74
0,63,0.0000,1.0000,0.4269,85.49,0.7629,75.90
0,64,0.0000,1.0000,0.4326,85.06,0.6842,77.22
0,65,0.0000,1.0000,0.4222,85.66,0.6403,79.11
0,66,0.0000,1.0000,0.4217,85.54,0.5181,82.42
0,67,0.0000,1.0000,0.4277,85.25,0.5785,80.78
0,68,0.0000,1.0000,0.4265,85.46,0.5284,82.66
0,69,0.0000,1.0000,0.4242,85.55,0.5166,82.59
0,70,0.0000,1.0000,0.4234,85.50,0.6170,79.51
